Title	Genre
A Christmas Kiss II (2014)	'Comedy', 'Romance'
Parts Per Billion (2014)	'Drama', 'Romance', 'Sci-Fi'
Runaway (2009)	'Animation', 'Comedy'
Basta poco (2015)	'Comedy'
Pride (2014)	'Biography', 'Comedy', 'Drama'
Price Check (2012)	'Comedy', 'Drama'
Goliyon Ki Rasleela Ram-Leela (2013)	'Drama', 'Romance'
Mr. Turner (2014)	'Biography', 'Drama'
Jamie and Jessie Are Not Together (2011)	'Comedy', 'Romance'
Blair Witch (2016)	'Horror', 'Thriller'
Hell House (2001)	'Documentary'
Balls to the Wall (2011)	'Comedy'
The Designated Mourner (1997)	'Drama'
The Black Panthers: Vanguard of the Revolution (2015)	'Documentary'
Douches froides (2005)	'Drama'
Backcountry (2014)	'Drama', 'Horror', 'Thriller'
Buddy Boy (1999)	'Drama', 'Thriller'
Ex Drummer (2007)	'Comedy', 'Crime', 'Drama'
Usturoi (2014)	'Adventure', 'Comedy', 'Family'
Hvordan vi slipper af med de andre (2007)	'Comedy', 'Drama', 'Sci-Fi'
Nanjing! Nanjing! (2009)	'Drama'
The Apology (2016)	'Documentary'
The Taiwan Oyster (2012)	'Adventure', 'Comedy', 'Drama'
Machete (2010)	'Action', 'Crime', 'Thriller'
In Your Eyes (2014)	'Romance', 'Sci-Fi'
The Ministers (2009)	'Crime', 'Drama'
Kriegerin (2011)	'Drama'
El acto en cuestiÌ_n (1993)	'Drama'
Love's Routine (2013)	'Comedy', 'Romance'
James Dean (2001)	'Biography', 'Drama'
The Skulls (2000)	'Action', 'Crime', 'Drama'
The Traveler (2010)	'Horror', 'Thriller'
Stranger in My House (1999)	'Thriller'
Flodder 3 (1995)	'Comedy'
Soldier (1998)	'Action', 'Drama', 'Sci-Fi'
Swiss Army Man (2016)	'Adventure', 'Comedy', 'Drama'
Travelers and Magicians (2003)	'Drama', 'Adventure'
Helicopter Mom (2014)	'Comedy'
On the Twelfth Day of Christmas (2015)	'Comedy', 'Romance'
Cloned: The Recreator Chronicles (2012)	'Drama', 'Sci-Fi', 'Thriller'
Senior Trip (1995)	'Adventure', 'Comedy'
Deewane Huye Paagal (2005)	'Action', 'Comedy', 'Drama'
Der freie Wille (2006)	'Crime', 'Drama'
August (2008)	'Drama'
ZrÌ_bmy sobie wnuka (2003)	'Comedy'
Vedam (2010)	'Action', 'Crime', 'Drama'
Nousukausi (2003)	'Comedy'
Killer at Large (2008)	'Documentary'
Naked As We Came (2013)	'Drama', 'Family'
Sublime (2007)	'Horror', 'Thriller'
Numbered (2012)	'Documentary'
